
name,code
Floating–Harbor_syndrome,s02812013n
Encéphalomyélite_allergique_expérimentale,s02956092n
5α-Reductase_deficiency,s02972783n
Beare–Stevenson_cutis_gyrata_syndrome,s03061690n
Syndrome_du_mâle_XX,s03088571n
Jarisch–Herxheimer_reaction,s03154002n
Maladie_systémique,s03327534n
Short_rib_–_polydactyly_syndrome,s03410941n
Congenital_adrenal_hyperplasia_due_to_3β-hydroxysteroid_dehydrogenase_deficiency,s03581295n
Maladie_réputée_contagieuse,s04693628n
Maladie_spontanément_résolutive,s04750141n
Myopathie_à_corps_d'inclusion,s04848251n
Épidémie_à_norovirus,s04863981n
Maladie_évitable,s04897676n
Érythermalgie,s05016512n
Toxoplasmosis_congénita,s08345505n
Vasculite_da_ipersensibilità,s08906945n
Vescicola_(medicina),s09004398n
Upshaw–Schulman_syndrome,s14088476n
Cenani–Lenz_syndactylism,s14474915n
Fazio–Londe_disease,s14483383n
Interleukin-1_receptor–associated_kinase_4_deficiency,s15203356n
Maladie_de_Charcot-Marie-Tooth_intermédiaire_DI-CMT,s15705948n
Diabète_(syndrome),s16402022n
Syndrome_progéroïde_néonatal,s16423050n
Donnai–Barrow_syndrome,s16558594n
Nance–Horan_syndrome,s16633600n
Baller–Gerold_syndrome,s16842932n
Cecità_da_neve,s16912762n
Bohring–Opitz_syndrome,s16933498n
Amnésie_bi-temporale,s17156070n
abasia_trepidans,s00000220n
atactic_abasia,s00006695n
choreic_abasia,s00018758n
paralytic_abasia,s00060580n
paroxysmal_trepidant_abasia,s00060731n
spastic_abasia,s00073153n
Síndrome_de_Miescher,s08466382n
canine_chorea,s00015261n
costiasis,s00023021n
fistulous_withers,s00034890n
Penile_agenesis_and_testicular_agenesis,s00658417n
Anticuerpos_antifosfolípidos,s01709508n
Sindrome_di_Sjögren,s03430636n
cryptorchidy,s00024204n
Klippel–Feil_syndrome,s01245626n
Silver–Russell_syndrome,s01922711n
Young–Simpson_syndrome,s14947033n
Cyclocéphaliens,s15302064n
Bastón_blanco,s03078407n
Cecità_isterica,s08959200n
Baja_visión,s16605168n
Neurinoma_del_acústico,s00120273n
Tumeur_cérébrale_primitive,s04739263n
hairline_fracture,s00015494n
impacted_fracture,s00046068n
Fractura_de_fémur,s00947125n
Fractura_de_cráneo,s01947815n
Holstein–Lewis_fracture,s15214152n
acquired_hemochromatosis,s00000995n
Maladie_de_longue_durée,s04733920n
nevoid_elephantiasis,s00057461n
Mirhosseini–Holmes–Walton_syndrome,s00538029n
Malformación_uterina,s00853759n
Saethre–Chotzen_syndrome,s01525117n
Ulnar–mammary_syndrome,s01768292n
Pitt–Hopkins_syndrome,s01881431n
Mohr–Tranebjærg_syndrome,s01950612n
Rosenthal–Kloepfer_syndrome,s01979585n
Kufor–Rakeb_syndrome,s02343695n
Goldberg–Shprintzen_syndrome,s02692116n
Melkersson–Rosenthal_syndrome,s03084054n
Hailey–Hailey_disease,s03328582n
Mowat–Wilson_syndrome,s03401018n
Surdité_d'origine_génétique,s04758764n
Maladie_multigénique,s04935545n
дивертикул_мочевого_пузыря,s06095140n
Abdallat–Davis–Farrage_syndrome,s14399069n
Différences_entre_les_sexes_en_médecine,s16554843n
Ilona_and_Judit_Gófitz,s01509861n
Rosa_et_Josepha_Blažek,s04876186n
Contagion_émotionnelle,s02213187n
Kyste_du_tractus_thyréoglosse,s03617782n
metroptosis,s00026496n
red-green_dichromacy,s00066639n
yellow-blue_dichromacy,s00081867n
keratonosis,s00048946n
Saint_Anthony's_fire,s00068858n
Rothmund–Thomson_syndrome,s00488870n
Mélanose_pustuleuse_néonatale_transitoire,s01392567n
Mitomanía,s14553258n
Killian–Jamieson_diverticulum,s02170678n
Enanismo_psicogénico,s03418029n
Nanisme_(médecine),s17100113n
keratonosus,s00048947n
Pathologies_oculaires_par_mutation_du_gène_SOX2,s04999573n
métaplasie_osseuse_du_corps_ciliaire,s05194202n
colpocele,s00020786n
keratocele,s00048937n
Achard–Thiers_syndrome,s00767668n
adenomegaly,s00001341n
dactylomegaly,s00024982n
Hipoxia_hipobárica,s08446162n
raptus_hemorrhagicus,s00066195n
Purpura_thrombopénique_immunologique,s04794761n
Brûlure_chimique,s03470444n
Tétanos_(maladie_professionnelle),s04717240n
Toluène_(maladie_professionnelle),s04717294n
Manganèse_(maladie_professionnelle),s04718168n
Phénylhydrazine_(maladie_professionnelle),s04718326n
Poliomyélite_(maladie_professionnelle),s04719300n
Distonías_ocupacionales,s08259004n
Lesiones_en_los_músicos,s16054552n
Accident_de_plongée,s16648061n
ratbite_fever,s00066232n
Brill–Zinsser_disease,s03158341n
Fiebre_hemorrágica_con_síndrome_renal,s14745638n
Rhinotrachéite_infectieuse_bovine,s16335658n
colpocystitis,s00020787n
iridokeratitis,s00047462n
keratoiritis,s00048943n
keratoscleritis,s00048948n
tarsitis,s00076162n
vasovesiculitis,s00079637n
Inflammation_aiguë,s13981050n
Absceso_hepático,s00172092n
Epatotossicità,s03229187n
lysine_intolerance,s00052489n
Trastorno_hidroelectrolítico,s03797112n
Nodule_de_sœur_Mary_Joseph,s02522270n
Nicolau–Balus_syndrome,s02129353n
Fausse_couche_spontanée,s04711455n
Mixoma_odontológico,s03616463n
celioma,s00017024n
atopognosia,s00006948n
Axonopatías,s17972307n
Neuronopatía,s17995428n
Spanioménorrhée,s04803183n
Hématome_sous-unguéal,s02760328n
Autoinfección,s08317874n
cystoplegia,s00024888n
Parálisis_de_la_abeja,s14665849n
ulatrophia,s00078878n
Papillon–Lefèvre_syndrome,s03438011n
crown_wart,s00024096n
heartrot,s00043410n
rhizoctinia_disease,s00067637n
sweet-potato_ring_rot,s00075553n
Proctitis_postradiación,s02741855n
Dépression_respiratoire,s04828237n
Síndrome_de_Young,s00341865n
dhobi_itch,s00026780n
sapremia,s00069234n
Sepsis_sévère,s16040330n
cornsmut,s00022709n
flag_smut_fungus,s00034973n
head_smut,s00043298n
onion_smut,s00059016n
enterostenosis,s00031003n
rhinostenosis,s00067632n
ureterostenosis,s00079324n
Hallermann–Streiff_syndrome,s00127681n
Coffin–Siris_syndrome,s00531870n
Senior–Løken_syndrome,s00538044n
Rubinstein–Taybi_syndrome,s00707867n
Langer–Giedion_syndrome,s01227149n
Marinesco–Sjögren_syndrome,s01457999n
Johanson–Blizzard_syndrome,s01557519n
Cerebral_dysgenesis–neuropathy–ichthyosis–keratoderma_syndrome,s01913113n
Adams–Oliver_syndrome,s03067207n
Lown–Ganong–Levine_syndrome,s03084527n
Bannayan–Riley–Ruvalcaba_syndrome,s03130828n
Simpson–Golabi–Behmel_syndrome,s03153481n
Pallister–Hall_syndrome,s03273002n
Laurence–Moon_syndrome,s03308013n
Denys–Drash_syndrome,s03415071n
Sindrome_di_Sjögren-Larsson,s03437326n
Muckle–Wells_syndrome,s03466301n
Loeys–Dietz_syndrome,s03480307n
Aarskog–Scott_syndrome,s03675133n
Miller–Dieker_syndrome,s03782421n
Qazi–Markouizos_syndrome,s13929287n
Klippel–Trénaunay_syndrome,s14792046n
Kleine–Levin_syndrome,s14950980n
Schwartz–Jampel_syndrome,s15080678n
Acro–dermato–ungual–lacrimal–tooth_syndrome,s17331362n
Bowen–Conradi_syndrome,s17500626n
Health-related_incidents_at_the_United_States_Embassy_in_Havana,s21100374n
juvenile_wart,s00048689n
Polyménorrhée,s04774232n
Gluten-sensitive_enteropathy–associated_conditions,s14829441n
Trastornos_neurológicos_relacionados_con_el_gluten,s21184756n
May–White_syndrome,s02901898n
Glomeruloesclerosis_diabética,s08482808n
Retinopatía_por_fototoxicidad,s08333135n
Polype_festonné,s13978244n
Perturbation_cognitive_post-chimiothérapie,s03724393n
Enfermedad_pulmonar_inducida_por_fármacos,s08346260n
Neumopatía_aguda_postraumática,s08476669n
Mixed_Müllerian_tumor,s03607506n
Hypotrophie_fœtale,s04731687n
Liquenificación,s17361822n
Hémorragie_rétinienne,s00789478n
Arteria_umbilical_única,s01947530n
Discromía,s01530030n
Schizochroïsme,s04920890n
Hémorragie_de_Benckiser,s04711548n
Allan–Herndon–Dudley_syndrome,s00247687n
Coffin–Lowry_syndrome,s00707537n
Andersen–Tawil_syndrome,s00779594n
Birt–Hogg–Dubé_syndrome,s00874819n
Antley–Bixler_syndrome,s00912533n
Gerstmann–Sträussler–Scheinker_syndrome,s01011292n
Rapp–Hodgkin_syndrome,s01435789n
Encefalopatía_espongiforme_transmisible,s01667412n
Machado–Joseph_disease,s01673663n
Déficit_en_acyl-coenzyme_A_déshydrogénase_des_acides_gras_à_chaîne_très_longue,s01924752n
Bamforth–Lazarus_syndrome,s01980438n
Dubin–Johnson_syndrome,s02221010n
Cartilage–hair_hypoplasia,s02426292n
Maladie_de_surcharge_en_esters_de_cholestérol,s02622750n
Hermansky–Pudlak_syndrome,s02810543n
Déficit_en_acyl-coenzyme_A_déshydrogénase_des_acides_gras_à_chaîne_courte,s03112914n
Hajdu–Cheney_syndrome,s03203220n
Holt–Oram_syndrome,s03341862n
Déficit_en_acyl-coenzyme_A_déshydrogénase_des_acides_gras_à_chaîne_moyenne,s03354141n
Budd–Chiari_syndrome,s03405605n
Hay–Wells_syndrome,s03797468n
Camurati–Engelmann_disease,s16084700n
Thiel–Behnke_dystrophy,s16371368n
Börjeson-Forssman-Lehmann_syndrome,s16473955n
Bernard–Soulier_syndrome,s03061691n
Statis_papillomatosis,s14572037n
festination,s00034149n
Fauchage_(médecine),s15923999n
Gougerot–Blum_syndrome,s01528784n
Demencia_semántica,s01532157n
Fièvre_et_grossesse,s04711530n
Menace_d'accouchement_prématuré,s04712045n
Symptoms_and_discomforts_of_pregnancy,s15720062n
Brooke–Fordyce_syndrome,s03059880n
Diabète_et_troubles_du_comportement_(modèle_animal),s17838898n
Obsesión_(sentimiento),s15283178n
Kearns–Sayre_syndrome,s02376417n
Histiocytofibrome_malin,s03408622n
Hürthle_cell_adenoma,s14214477n
Leucoencefalopatía_tóxica,s03755219n
Gouverneur’s_syndrome,s16482536n
Enfermedad_de_Paget-Schrötter,s02350816n
Weissenbacher–Zweymüller_syndrome,s03137275n
Insuffisance_antéhypophysaire_par_mutation_du_gène_PROP1,s04878574n
Hypersédation,s17827866n
Síndrome_de_Silvestrini-Corda,s17008717n
Maladies_héréditaires_du_collagène,s04849875n
Cavernome_cérébral_héréditaire,s04867889n
Enfermedades_de_Declaración_Obligatoria,s03526961n
Enfermedad_por_depósito_lisosomal,s03397023n
Éveil_confusionnel,s04740313n
Déglutition_atypique,s04891456n
alcoholic_dementia,s00002524n
Síndrome_de_Tolosa-Hunt,s03768758n
Hagemoser–Weinstein–Bresnick_syndrome,s13895251n
Henoch–Schönlein_purpura,s03675946n
ring_rot_bacteria,s00064986n
Cloque_du_pêcher,s01415339n
Rouille_jaune_du_blé,s01686251n
Piétin-verse,s03511203n
Enfermedad_de_Panamá,s03644511n
Pourriture_du_cœur,s04709450n
Épiphytie,s05889594n
Enfermedad_criptogámica,s14911663n
Dead_arm_of_grapevine,s15713705n
Oïdium_du_pommier,s17234208n
Maladie_sud-américaine_des_feuilles_de_l'hévéa,s17838517n
Dépérissement_du_kauri,s21567476n
Lésion_urothéliale_papillaire,s14073373n
Rosselli–Gulienetti_syndrome,s16827685n
Tillaux-Chaput_avulsion_fracture,s15546800n
Anomalies_acquises_de_l'intestin_grêle,s04870138n
Déformation_positionnelle,s15436537n
Hépatopancréatite_nécrosante,s01479843n
Fièvre_de_lait,s03828342n
Santé_des_bovins,s04810318n
Maladie_animale_à_déclaration_obligatoire,s04899647n
Maladies_des_équidés,s14845472n
Maladie_de_Carré_des_phoques,s16664303n
Myonécrose_infectieuse,s17840520n
Leucémie_des_mollusques,s17870740n
Phénomène_d'Uhthoff,s02229958n
Non-mycosis_fungoides_CD30−_cutaneous_large_T-cell_lymphoma,s01606423n
Sindrome_di_Sézary,s02390827n
Carence_(biologie_végétale),s14620449n
Síndrome_HERNS,s18000037n
Lipschütz_ulcer,s01878799n
Hémoglobine_Hb_J-baltimore,s04874892n
Schizophrénie_torpide,s14893955n
Emphysème_sous-cutané,s00969762n
Intoxicación_por_fósforo,s08260061n
tetraspastick,s14749962n
Traitement_de_la_calvitie_androgénétique_chez_la_femme,s04732781n
Síndrome_de_Wünderlich,s00667052n
Pathologies_rénales_par_mutation_du_gène_UMOD,s04714708n
Traumatismo_de_riñón,s08314116n
Enfermedades_hereditarias_o_congénitas_de_los_riñones,s08369306n
Nefritis_por_Henoch_Schönlein,s16123368n
Charcot–Bouchard_aneurysm,s15970113n
quarter_crack,s00065590n
blood_spavin,s00011390n
Romano–Ward_syndrome,s13932309n
Altération_de_l'état_général,s04702435n
Cachexie_cancéreuse,s05353140n
Síndrome_de_desgaste,s08286342n
Formas_frontera_de_la_esclerosis_múltiple,s16915401n
Vitiligo_ponctué,s01871483n
Fibrosis_mediastínica,s03407146n
Red–green_color_blindness,s05589383n
Dextraposición_de_la_aorta,s02775708n
Tératologie_végétale,s04794190n
Dennie–Marfan_syndrome,s01516497n
Ho–Kaufman–Mcalister_syndrome,s03426103n
Cyclocéphalie,s16541359n
Anomalies_de_développement_du_cortex_cérébral,s05019534n
Fractura_de_peroné,s05252864n
Fracture_du_scaphoïde,s03842628n
Lesión_de_Lisfranc,s01611580n
Chopart's_fracture–dislocation,s01783557n
Cancer_bronchique_non_à_petites_cellules,s03421664n
Diabesità,s09004177n
lysinemia,s00052490n
car_sickness,s00015800n
Lait_de_sorcière,s16089854n
Adams–Nance_syndrome,s14429151n
Maladies_vectorielles_à_tiques,s00234077n
Transmisión_vertical,s14466404n
Fecal–oral_route,s15031159n
maladies_vénérienne,s05874496n
Enfermedad_psicogénica_de_masas,s00638891n
Peste_d'Athènes,s01106387n
Épidémie_de_typhus_à_Nantes,s04827348n
Épidémie_de_rougeole_en_France_en_2008,s14365978n
2009–10_West_African_meningitis_outbreak,s14960616n
Quảng_Ngãi_skin_disease_outbreak,s15329052n
1629–31_Italian_plague,s15984632n
Epidemia_de_ébola_de_2014-2016,s16905443n
Shimla_jaundice_outbreak_(December_2015_–_Present),s17687840n
Higiene_del_sueño,s00442574n
Ricketsiosis,s08352233n
Famines_en_Éthiopie,s01022347n
Famine_en_Inde_de_1899–1900,s01161159n
Famine_soviétique_de_1946-1947,s01781419n
Grande_Famine_(Grèce),s02664203n
Famine_en_Corée_du_Nord,s03266398n
Upper_Doab_famine_of_1860–61,s14887802n
Deccan_famine_of_1630–32,s14912484n
Kazakhstan_famine_of_1932–1933,s15068343n
Chinese_famine_of_1942–43,s15215608n
1983–1985_famine_in_Ethiopia,s15268054n
2005–06_Niger_food_crisis,s15310450n
Chinese_famine_of_1928–30,s15549221n
Northern_Chinese_Famine_of_1876–79,s15585942n
Great_Famine_of_Estonia_(1695–97),s15795310n
Agra_famine_of_1837–38,s15797506n
1921–22_famine_in_Tatarstan,s15826732n
Indian_famine_of_1896–97,s16107624n
Great_Famine_of_1695–1697,s16887210n
Bihar_famine_of_1873–74,s16940234n
Famine_en_Inde_de_1876_à_1878,s17025042n
Kazakh_famine_of_1919–1922,s17742623n
Persian_famine_of_1917–1919,s21111468n
Famine_in_Yemen_(2016–present),s21300668n
Malnutrition–inflammation_complex,s01121558n
Dénutrition,s04897064n
Desnutrición_infantil,s08405378n
Desnutrición,s17321252n
Dénutrition,s04897064n
bubble_gum_dermatitis,s00013546n
Acné_excoriée,s15390974n
brow_ptosis,s00013392n
tetartanopia,s00076688n
gumboil,s00042213n
Cellulite_périnéale,s01947824n
lichtenoid_eczema,s00018899n
Sulzberger–Garbe_syndrome,s01949042n
Eczéma_xérotique,s03301513n
Exanthème_roséoliforme,s04953596n
Exanthème_scarlatiniforme,s14583255n
photalgia,s00062058n
Epilepsia_fotosensitiva,s03428692n
Cellulite_à_éosinophiles,s01447134n
Aspergillose_cutanée,s01542175n
Ansiedad_ante_extraños,s03583998n
Névrose_d'angoisse,s04903536n
glove_anesthesia,s00040737n
Disturbo_ossessivo-compulsivo_di_personalità,s02274286n
Névrose_actuelle,s07490115n
Disturbo_istrionico_di_personalità,s01056473n
Disturbo_paranoide_di_personalità,s03556161n
Organizzazione_borderline_di_personalità,s08973567n
accentuation_de_certains_traits_de_la_personnalité,s11152572n
Disturbo_narcisistico_di_personalità,s14159106n
Micro-éveil,s04872596n
Ethanol_use_and_sleep,s14638545n
Depression_in_childhood_and_adolescence,s01552529n
Dysmnésie,s03945013n
Hypermnésie,s05588621n
Disregulación_emocional,s03104798n
Anxiété_de_performance,s03694765n
Déshydratation_extracellulaire,s04725960n
Déshydratation_intracellulaire,s04988172n
1979–83_Eastern_Australian_drought,s13840968n
1988–89_North_American_drought,s13974700n
2010–11_China_drought,s16530227n
2010–13_Southern_United_States_and_Mexico_drought,s16657228n
1911–16_Australian_drought,s16830761n
2012–13_North_American_drought,s17399479n
2014–17_Brazilian_drought,s17463504n
2011–17_California_drought,s21549111n
Hiposalivación,s04816489n
VIH_en_el_niño,s08309762n
Infección_asintomática_por_VIH,s08333984n
Glaucoma_de_células_fantasma,s08355190n
annular_scotoma,s00004372n
hemianopic_scotoma,s00043655n
anterior_synechia,s00004520n
posterior_synechia,s00063786n
Millard–Gubler_syndrome,s03501088n
Hypercholestérolémie_de_l'enfant,s04919233n
Stéatomérie,s04777455n
anemic_anoxia,s00004028n
ischemic_anoxia,s00047589n
Abattage_par_atmosphère_contrôlée,s16530445n
pure_absence,s00065275n
subclinical_absence,s00074868n
Adicción_a_los_videojuegos,s01605110n
Causticación,s16048880n
Intoxication_aux_organophosphorés,s00418050n
Distonía_del_músico,s08432900n
Abcès_hépatique_amibien,s01387155n
Syndrome_dysentérique,s05015609n
Leucoencéfalomalacia_equina,s08387639n
canicola_fever,s00015255n
Leptospirose_ictéro-hémorragique,s17073088n
herpangia,s00043871n
differences_between_chickenpox_and_smallpox,s16566686n
Syndrome_émergent,s04799839n
rheumatic_aortitis,s00067613n
Bursite_trochantérienne,s03676385n
acute_glossitis,s00001212n
chronic_glossitis,s00018902n
Moeller's_glossitis,s00040722n
Maladie_post-phlébitique,s03539098n
Hépatome,s17813940n
Adénome_toxique,s04840961n
Kasabach–Merritt_syndrome,s03296436n
acataphasia,s00000623n
orthochorea,s00059574n
Perro_de_asistencia_para_personas_epilépticas,s02731193n
Mort_subite_et_inexpliquée_en_épilepsie,s03306053n
acromyotonia,s00001057n
Neuro-Behçet's_disease,s15525961n
Linburg–Comstock_variation_and_syndrome,s17654986n
Dandy–Walker_syndrome,s02710826n
Raymond_Céstan_syndrome,s16334061n
Atrophie_corticale_postérieure,s00968616n
Brown-Séquard_syndrome,s15527926n
swivet,s00075618n
Panic_of_1910–11,s16230952n
Miedo_al_éxito_(psicología),s08281102n
satanophobia,s00069313n
pericementoclasia,s00061585n
alder_blight,s00002541n
beet_blight,s00009604n
blister_blight,s00011289n
blister_blight,s00011290n
coffee_blight,s00020418n
rim_blight,s00067865n
spinach_blight,s00073378n
stripe_blight,s00074715n
brown_rot_gummosis,s00013417n
green_smut,s00032865n
flag_smut,s00034972n
verticilliosis,s00079844n
Granulomatous–lymphocytic_interstitial_lung_disease,s17751531n
boil_smut,s00011825n
wheat_flag_smut,s00079351n
Autisme_à_haut_niveau_de_fonctionnement,s01126840n
Comorbidités_des_troubles_du_spectre_de_l'autisme,s03870868n
Villaret’s_syndrome,s16037415n
Rétrécisseur_de_sexe,s04773571n
Trou_réa,s14956320n
Brote_psicótico,s03769846n
Galli–Galli_disease,s01392545n
talipes_equinus,s00075963n
Hyperthyroïdie_féline,s14635991n
Élongation_musculaire,s04919573n
Hipotonía,s15863735n
polysubstance dependence,s01148025n
barbiturate dependence,s02054088n
delusions of persecution,s00026099n
nihilistic delusion,s00057711n
somatic delusion,s00072779n
monothematic delusion,s02507320n
religious delusion,s02800150n
paranoid delusion,s04720969n
messianic delusion,s08452509n
delusional thinking,s17907791n
strawman theory,s22132291n
delusion of control,s26576250n
Bell's mania,s27825167n
MELAS syndrome,s03077289n
familial amyloid cardiomyopathy,s02761591n
big spender,s00010323n
Gear Acquisition Syndrome,s21753998n
arterial pulmonary hypertension,s10476507n
leadpipe rigidity,s07878314n
Tumor angiogenesis,s18499501n
Serpentine fibula-polycystic kidney syndrome,s01285233n
degenerative disorder,s00025963n
subcutaneous abscess,s16451768n
subcutaneous abscess,s16451768n
Organ-limited amyloidosis,s01017944n
AA amyloidosis,s01017977n
Haemodialysis-associated amyloidosis,s01018009n
Secondary cutaneous amyloidosis,s01611154n
Heredofamilial amyloidosis,s01611160n
cerebral amyloid angiopathy,s01699837n
cardiac amyloidosis,s17386428n
LECT2 amyloidosis,s17476990n
visual aphasia,s00002636n
auditory agnosia,s00007125n
visual agnosia,s00080125n
integrative agnosia,s00791481n
pain agnosia,s00820311n
apperceptive agnosia,s00969990n
associative agnosia,s01490531n
finger agnosia,s02769843n
dyslogia,s00029319n
vocal cord dysfunction,s01061152n
infantile speech,s01445586n
pressure of speech,s02364678n
motor speech disorder,s02399360n
involuntary speech,s04675396n
speech disability,s05130152n
cognitive dysphasia.,s05321331n
developmental speech disorder,s06294176n
Sakati-Nyhan syndrome,s03744306n
Gueules cassées,s15299928n
neuro-cardio-facial-cutaneous syndromes,s01436390n
jaw abnormality,s01496619n
skull bossing,s02808767n
Fryns-Aftimos syndrome,s21548177n
Tripod fracture,s00525022n
Face distortion,s01971406n
midface fracture,s05338716n
Pemphigoid nodularis,s01997956n
false memories in autobiographical writings,s22384943n
familial dysautonomia,s00354236n
equine viral arteritis,s00158653n
dangerous illness,s08582254n
serous glue ear,s14316918n
adhesive otitis media,s23506996n
Inflammatory linear verrucous epidermal nevus,s01462570n
Systematized epidermal nevus,s01610471n
Nevus unius lateris,s01610476n
Derzsy's disease,s02696735n
phosphofructokinase deficiency,s00136730n
glycogen storage disease type IX,s15604995n
Erythrocyanosis crurum,s01530219n
low birth weight,s01241714n
Constitutional growth delay,s01342324n
stunted growth,s02841192n
antrochoanal polyp,s06251013n
vertical root fracture,s01873591n
Enamel infraction,s01886148n
trifascicular block,s03515212n
tachycardia-dependent bundle branch block,s16139701n
left anterior fascicular block,s00489223n
left posterior fascicular block,s00489224n
atonic dyspepsia,s04780297n
fermentative dyspepsia,s05170571n
functional dyspepsia,s06610210n
Wernicke–Korsakoff syndrome,s02465141n
Wernicke–Korsakoff syndrome,s02465141n
Wernicke–Korsakoff syndrome,s02465141n
shoshin beriberi,s09677127n
Wolf–Hirschhorn syndrome,s00224339n
Cri-Du-Chat syndrome,s00540834n
Posterior amorphous corneal dystrophy,s01663588n
3q29 microdeletion syndrome,s02184266n
1q21.1 deletion syndrome,s02208122n
proximal 18q-,s02393903n
WAGR syndrome,s02543047n
chromosome 18q deletion syndrome,s02580730n
chromosome 9p deletion syndrome,s03312036n
1p36 deletion syndrome,s03484254n
microdeletion syndrome,s06827740n
chromosome 6q24-q25 deletion syndrome,s21626322n
chromosome 2q deletion,s22230235n
chromosome 6pter-p24 deletion syndrome,s25396631n
17q12 microdeletion syndrome,s27344088n
gastric lymphoma,s03174630n
cardia cancer,s04763142n
hereditary diffuse gastric cancer,s17040598n
benign nephrosclerosis,s01457514n
pilomyxoid astrocytoma,s05371980n
Ghon's complex,s03172512n
conjugate gaze palsy,s00244110n
monofixation syndrome,s01987455n
Pattern Strabismus,s05251570n
congenital strabismus,s05305020n
associated phoria,s05584691n
incomitant strabismus,s17123973n
ocular flutter,s03226110n
acute renal failure,s00001215n
large granular lymphocytic leukemia,s00206590n
hairy cell leukemia,s00214354n
Richter's syndrome,s00353713n
prolymphocytic leukemia,s00506859n
invasive group A streptococcus infection,s16257635n
serpiginous ulcer,s08880106n
Mooren's ulcer,s08881240n
bullous keratopathy,s01371587n
post-LASIK ectasia,s17453413n
Terrien's marginal degeneration,s17459175n
nominal aphasia,s00003567n
global aphasia,s00040678n
transcortical aphasia,s00077957n
evolutionary aphasia,s04679264n
Syntactic aphasia,s18455069n
Semantic aphasia,s21305868n
Drug-induced pseudolymphoma,s01396135n
Balloon cell nevus,s01614337n
Pigmented hairy epidermal nevus syndrome,s01459654n
Supernumerary nipples–uropathies–Becker's nevus syndrome,s01938192n
Patch blue nevus,s09644478n
blue mold fungus,s00011532n
onion mildew,s00059013n
tobacco mildew,s00061677n
blue mold,s00498524n
