diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Anasarka,Q486485, , ,"Captopril,Espironolaktona,Q1078392,Q1169164,Q1169561,Q2072745,Q221520,Q2603363,Q2889971,Q3791957,Q3837481,Q419652,Q419995,Q422185,Q423930,Q425289,Q5199066,Q5986553,Q6823919,Q7227099,Q7272222,azido etakriniko,bumetanida,furosemida,prednisolona,sodio etakrinatoa,torasemida","Q1078392,Q11426176,Q1169164,Q1169561,Q2072745,Q221520,Q2603363,Q27281933,Q275926,Q2889971,Q3791957,Q3837481,Q388801,Q418571,Q419652,Q419948,Q419995,Q421119,Q422185,Q422188,Q423930,Q425289,Q5199066,Q5986553,Q6823919,Q7227099,Q7272222", , , , , , , , , , , , ,C98811,https://eu.wikipedia.org/wiki/Anasarka, ,Hidropesia
Q487231,Q487231, , , , , , , , , , , , , , , ,D057868, , , , 
Q499857,Q499857, , , , , , , , , , , , , , ,C0205822, ,C3702, , , 
Erraldoitasun,Q501829, , , , ,"Q1148685,Q63441625","Q1148685,Q63441625", , , , , , , ,E22.0,C0017547,D005877, ,https://eu.wikipedia.org/wiki/Erraldoitasun, , 
neurastenia,Q510236, , , , , , , , , , , , , , , ,D009440, , , , 
Q511097,Q511097, , ,"Q2858961,Q4072449,Q415343,Q421230","Q2858961,Q4072449,Q415343,Q421230", , , , , , , , ,696.0,"L40.5,L40.50",C0003872,D015535,C61277, , , 
Tetania,Q511818,Q1632123,Q1632123,"Kaltzio kloruro,Q413739,Q5018826","Q208451,Q413739,Q5018826", , , , ,hipokaltzemia,Q936382, , , , ,C0039621,D013746,C114789,https://eu.wikipedia.org/wiki/Tetania,Espasmoak eta muskulu-uzkurdurak izateko joera patologikoa, 
Q512942,Q512942, , , , , , , , , , , , , , ,C0234488, , , , , 
Q525075,Q525075, , , , , , , , , , , , ,759.6, ,C0018552,D006222, , , , 
Q557009,Q557009, , , , , , , , , , , , , , ,C0265228, ,C99008, , , 
Q558404,Q558404,"Ikterizia,goragale","Q133244,Q186889", , , , , , ,alkohol kontsumoa,Q2647488,"Hemograma,Q1359801","Q1359801,Q886518", , , ,D008108, , , , 
Anoxia,Q568321, , , , , , , , , , , , , , , , ,C2876, ,ehun batean gertatzen den oxigeno falta erabatekoa, 
Eisenmengerren sindrome,Q572695, , , , , , , , , , , , , ,I27.2,C0013743,D004541,C84390,https://eu.wikipedia.org/wiki/Eisenmengerren_sindrome, , 
Q574975,Q574975,"Hipermetropia,Midriasi,Q1929023,Q3443277,Q4930803,Takikardia,hipertermia,oliguria,xerostomia","Q1128283,Q1162276,Q177254,Q1929023,Q209583,Q242165,Q3443277,Q4930803,Q961326", , , , , , ,Q113259,Q113259, , , , , ,D064807, , , , 
Q580754,Q580754, , , , ,"Q61777085,masokismo","Q12754745,Q61777085", , , , , , , , ,C1404989, , , , , 
Q589612,Q589612, , , , , , , , , , , , , , , ,D009232, , , , 
Q593277,Q593277, , , , , , , , , , , , , , ,C0549410,D060831, , , , 
Q605576,Q605576,"Q47085690,hantura","Q109186,Q47085690", , , , , , , , , , , , , ,D062108, , , , 
Q608085,Q608085, , ,"Hidroxiklorokina,Q2319112,Q2775914,Q284959,Q518114","Q2319112,Q2775914,Q284959,Q421094,Q518114", , , , , , , , ,692.72, ,"C0031762,C0162824",D017454, , , , 
Q609675,Q609675, , , , , , , , , , , , , ,I28.8, , , , , , 
Tortikoli,Q615363, , , , , , , , , , , , , , ,C0040485,D014103, ,https://eu.wikipedia.org/wiki/Tortikoli,"Lepoa mugitzea eragozten duen eta burua okertuta eramatera behartzen duen lepoko gaitz mingarria, lepoko muskuluren bat uzkurtzean edo lepaornoen lesioren bat gertatzean sortzen dena", 
Litiasi,Q617079, , , , ,kalkulu,Q149972, , , , , , , , ,"C0023869,C1269628",D002137, ,https://eu.wikipedia.org/wiki/Litiasi, ,Lithiase
Q621053,Q621053, , , , , , , , , , , , , , , , , , , , 
Erditze goiztiar,Q625506, , , , ,"Q45051448,Q745832,abortu","Q45051448,Q745832,Q8452", , , , , , , , , ,D047928,C92861,https://eu.wikipedia.org/wiki/Erditze_goiztiar, , 
Q628648,Q628648,"Q55105885,otalgia,zerbikalgia","Q1596398,Q3567802,Q55105885", , , , , , , , , , ,733.99, ,C1868714,C538010, , , , 
Q629515,Q629515, , , , , , , , , , , , , , , , , , , , 
lanbide gaixotasun,Q637816, , , , , , , , , , , , , , ,C0028797,D009784, , , ,gaixotasun profesional
Q648982,Q648982,Q47085690,Q47085690, , , , , , ,zilar,Q1090, , , ,T56.8,C0003782,D001129, , , , 
Q652568,Q652568, , , , , , , , , , , , ,379.45,H57.01,C0155375, , , , , 
Q653200,Q653200, , , , , , , , , , , , ,734, ,"C0016202,C0264133",D005413,C34616, , , 
Q655982,Q655982, , , , , , , , , , , , ,277.89,C96.6,C0014461,D004803,C3016, , , 
Q667681,Q667681, , , , , , , , , , , , , , ,C0265218,C536405, , , , 
Q691112,Q691112, , , , , , , , , , , , , , , , , , , , 
Q695954,Q695954, , , , , , , , , , , , , , , , , , , , 
Izu-atake,Q696490, , , , ,Q48862213,Q48862213, , , , , , , , , , , ,https://eu.wikipedia.org/wiki/Izu-atake, , 
Hernia diskala,Q697117, , , , , , , , , , , , , , ,"C0021818,C1832597",D007405, ,https://eu.wikipedia.org/wiki/Hernia_diskal,"Bizkarrezurrean, ornoen arteko diskoak inguratzen dituen fibrokartilagotik zehar diskoaren zati bat kanporantz ateratzea","Eten diskala,Orno arteko diskoaren desplazamendua,hernia diskal"
Q707837,Q707837, , , , , , , , , , , , , , ,"C0003855,C0332965",D001164,"C35377,C36192", , , 
Q720020,Q720020, , , , , , , , , , , , , , ,"C0334492,C1261473,C2211494", ,C9306, , , 
Q734042,Q734042, , , , , , , , , , , , , ,D59.6,"C0086774,C0272129",C538618, , , , 
aspermia,Q736599, , , , , , , , , , , , , , , ,D053714, , ,Esperma gabezia edo gutxiegiko jarioa, 
Epikondilitis,Q736776, , , , , , ,Q662860,Q662860, , , , , , ,C0039516,D013716, ,https://eu.wikipedia.org/wiki/Epikondilitis, ,Tenislariaren ukondoa
Q740731,Q740731, , , , , , , , , , , , , , ,C0259756, , , , , 
Q744305,Q744305, , , , , , , , , , , , , , ,C0024003,D008141,C34787, , , 
atelektasia,Q754031, , , , , , , , , , , , , , ,C0004144,D001261,C2888, ,"Albeoloak airez hustu eta uzkurtzen direnean, birika osoaren edo birika-zati batean gertatzen den kolapsoa. Arrazoi nagusia bronkioen butxaketa izaten da", 
Q754447,Q754447, , , , , , , , , , , , , , ,C0035243,D012141, , , , 
Q757676,Q757676, , , , , , , , , , , , , , , , , , , , 
Q758294,Q758294, , , , , , , , , , , , , ,C71.5, , ,C53686, , , 
Q762583,Q762583, , , , ,Q11687105,Q11687105, , , , , , , , ,C0333355, , , , , 
Q174651,Q174651,"Q2046811,Q2074059,Q2076329","Q2046811,Q2074059,Q2076329", , , , , , , , , , , ,H51.8,C0270706, , , , , 
Astigmatismo,Q177895, , , , ,Q2423400,Q2423400, , , , , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251, ,https://eu.wikipedia.org/wiki/Astigmatismo, , 
Psoriasi,Q179945, , ,"Antiinflamatorio ez esteroideo,Q155682,Q155683,Q27294232,Q2858961,Q385370,Q3981685,Q904011,metotrexato","Q155682,Q155683,Q188724,Q27294232,Q2858961,Q385370,Q3981685,Q422232,Q904011", , ,"Estres,Gizeneri,Q662860,xerosi","Q12174,Q123414,Q2723497,Q662860", , , , , ,"L40,L40.9",C0033860,D011565,C3346,https://eu.wikipedia.org/wiki/Psoriasi, , 
Gastritis,Q183130, , ,"Omeprazol,Q254296,Q286846,Q420394,Q5268339,Q553223,erranitidina","Q254296,Q286846,Q420394,Q422210,Q423037,Q5268339,Q553223", , , , , , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756,C26780,https://eu.wikipedia.org/wiki/Gastritis,Urdaileko mukosaren hantura, 
Septizemia,Q183134,"Q24869904,Q3073147,hotzikara","Q2260058,Q24869904,Q3073147","Amikazina,Q1082945,Q1638852,Q2353907,Q2552927,Q2601832,Q2602246,Q3307752,Q412888,Q418546,Q418725,Q423787,Q425152,Q553220,Zeftazidima,gentamizina,zefotaxima,zeftriaxona","Q1082945,Q1638852,Q2353907,Q2552927,Q2601832,Q2602246,Q3307752,Q408529,Q412888,Q417968,Q418546,Q418725,Q421713,Q422482,Q423787,Q425152,Q553220,Q808845", , ,infekzio,Q166231, , , , , , ,C0036690,D018805, ,https://eu.wikipedia.org/wiki/Septizemia, ,"Bakteriemia,Sepsi,Sepsis"
birika-enfisema,Q188605, , ,"Q1073333,Q375613,Q4673059,Q471763,Q5104342,Teofilina","Q1073333,Q375613,Q407308,Q4673059,Q471763,Q5104342", , , , ,Q662860,Q662860, , ,492.8,J43.8,"C0029607,C0034067",D011656, ,https://eu.wikipedia.org/wiki/Enfisema, , 
hipomania,Q188611, , , , , , , , , , , , , , , , ,C78349, ,Gradu apaleko maniatzat hartzen den kitzikapen-egoera, 
bihotzeko arritmia,Q189331, , ,"Lidokaina,Papaberina,Q20078502,Q3712521,Q408637,Q409468,Q410061,Q413591,Q420262,Q421381,Q422222,Q514534,Q662511,Q757058,Q7700570,Q904071","Q20078502,Q216935,Q3712521,Q408637,Q409468,Q410061,Q410374,Q413591,Q420262,Q421381,Q422222,Q514534,Q662511,Q757058,Q7700570,Q904071", , , , , , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145,C2881,https://eu.wikipedia.org/wiki/Arritmia, , 
aneurisma,Q189389, , , , ,Q2483519,Q2483519, , , , , , , , , ,D000783,C26693,https://eu.wikipedia.org/wiki/Aneurisma,odol hodien paretetan dauden odolbeteak, 
fistula,Q189470, , , , ,Vistula,Q548, , , , , , , , , ,D005402,C3045,https://eu.wikipedia.org/wiki/Fistula,"Bi anatomia-atal, edo atal bat eta azala, komunikazio zuzen eta anormalean jartzen dituen hodi patologikoa", 
kardiopatia,Q190805,"Arnasestu,Aszitis,Edema,Q3540864,Sinkope,Takikardia,bihotzeko arritmia,bularreko angina,bularreko min,hipertentsio","Q152234,Q180007,Q180762,Q188008,Q189331,Q193889,Q209583,Q3540864,Q41861,Q693058","Atorbastatina,Azido azetilsaliziliko,Dobutamina,Klopidogrel,Q155472,Q15623825,Q20078502,Q263612,Q3221044,Q3712521,Q409468,Q410061,Q412534,Q412765,Q414462,Q415159,Q420262,Q420542,Q48566700,Q48566757,Q48566808,Q6457467,Q7700570,Sildenafilo,Warfarina,furosemida","Q155472,Q15623825,Q18216,Q191521,Q20078502,Q263612,Q3221044,Q3712521,Q388801,Q407431,Q409468,Q410061,Q410237,Q412534,Q412765,Q414462,Q415159,Q420262,Q420542,Q422782,Q48566700,Q48566757,Q48566808,Q6457467,Q668093,Q7700570", , ,Q662860,Q662860, , , , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331,C3079,https://eu.wikipedia.org/wiki/Kardiopatia,Bihotzeko gaixotasunen izen generikoa, 
Jet lag,Q192579,"Q29299,buruko min,loaren nahasmendu,neke","Q177190,Q29299,Q86,Q9690",Melatonina,Q180912, , , , ,aldaketa,Q1150070, , , ,G47.25, ,D020179, ,https://eu.wikipedia.org/wiki/Jet_lag, , 
kiste,Q193211, , , , , , , , , , , , , , , ,D003560,C2978,https://eu.wikipedia.org/wiki/Kiste,poltsa moduko barrunbe itxia, 
Hiposomatotropismo,Q194101,Q7502090,Q7502090, , ,Q63441638,Q63441638, , , , , , , , ,C0013336,D004392,C34554,https://eu.wikipedia.org/wiki/Nanismo,Populazioan sexu eta arraza jakin baten batezbesteko altuera baino askoz altuera txikiagoa duen pertsonaren gaitza,"Enanismo,nanismo"
Atrofia,Q194520, , , , ,Q65152739,Q65152739, , , , , , , , , ,D001284, ,https://eu.wikipedia.org/wiki/Atrofia, ,Endurtze
Q196781,Q196781, , , , , , , , , , , , , , ,C0543612, , , , , 
Q196788,Q196788, , , , , , , , , , , , , , ,C0206708,D018290,C3782, , , 
entzefalitis,Q199615, , ,aziklobir,Q147101, , , , ,Amorru,Q39222, , ,"323.0,323.8,323.9",A85,C0014038,D004660,C26760,https://eu.wikipedia.org/wiki/Entzefalitis, , 
Biriketako gaixotasun butxatzaile kronikoa,Q199804,"Arnasestu,Eztul,Q517104","Q188008,Q35805,Q517104","Ambroxol,Formoterol,Klenbuterol,Q2166700,Q27137018,Q3633651,Q3731252,Q3733837,Q411917,Q423408,Q425654","Q2166700,Q221637,Q223412,Q27137018,Q3633651,Q3731252,Q3733837,Q411917,Q423408,Q425654,Q637247", , ,Q662860,Q662860,"Hauts,Q662860","Q165632,Q662860","Espirometria,Q648497","Q648497,Q653305","490-496.99,496",J44.9,C0024117,D029424,C3199,https://eu.wikipedia.org/wiki/Biriketako_Gaixotasun_Butxatzaile_Kronikoa, ,BGBK
Barize,Q201180, , ,"Q20817018,Q7553377","Q20817018,Q7553377", , , , , , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648,C35114,https://eu.wikipedia.org/wiki/Barize, , 
Lymeko gaitz,Q201989,"Miokardiopatia hipertrofiko,artralgia,artritis,bertigo,bihotzeko arritmia,buruko min,entzefalomielitis,eritema migrans kroniko,faszikulazio,meningitis,meningo-entzefalitis,mialgia,min neuropatiko kroniko,miokarditis,neke,neuritis,parestesia,sukar","Q10686316,Q1364270,Q1397878,Q1634879,Q170990,Q186235,Q189331,Q2307256,Q2346415,Q2558634,Q38933,Q474959,Q48143,Q58490835,Q683498,Q769220,Q86,Q9690","Azitromizina,amoxizilina,doxiziklina,zeftriaxona,zefuroxima","Q165399,Q201928,Q413728,Q421713,Q422442",Q17103401,Q17103401, , ,Borrelia burgdorferi,Q2723634,"Biopsia,ELISA,Q48743,miaketa fisiko,ziztada lunbar","Q179991,Q332126,Q48743,Q719444,Q835153",088.81,"A69.2,A69.20","C0024198,C0752235",D008193,C45161,https://eu.wikipedia.org/wiki/Lyme_gaitz, ,"Borreliosi,Lyme gaitza,Lymeko gaitza"
Bekatxo,Q202173, , , , , , , , ,Staphylococcus aureus,Q188121, , , ,H00.01,"C0019917,C4280376",D006726,C118722,https://eu.wikipedia.org/wiki/Bekatxo, , 
Turner sindrome,Q202849, , , , ,Q56014434,Q56014434, , , , , , , ,"Q96,Q96.0,Q96.9","C0041408,C1527168",D014424,"C26900,C34434,C85210",https://eu.wikipedia.org/wiki/Turner_sindrome,"Aberrazio kromosomiko baten ondorioz sortzen den sindromea. Ia kasu guztietan emakumezkoan agertzen da eta ezaugarri nagusiak fenotipo femeninoak, altuera txikia, sexu-organo gutxi garatu eta antzuak, pubertaterik eza eta hainbat malformazio dira","Turner sindromea,Turnerren sindrome"
anbliopia,Q207855, , , , , , , , , , , , ,368.00,H53.00,C0002418,D000550,C118764, ,"Ikusmenaren gutxitzea, eskuarki begiaren lesio organikorik izan gabe gertatutakoa", 
Delirium tremens,Q209647,Q397554,Q397554, , , , , , ,Q7331102,Q7331102, , ,291.0, , ,D000430, ,https://eu.wikipedia.org/wiki/Delirium_tremens, , 
Hipertrofia,Q216211, , , , , , , , , , , , , , , ,D006984, ,https://eu.wikipedia.org/wiki/Hipertrofia, , 
Q216866,Q216866, , , , ,"Kimerismo,Q32744","Q281721,Q32744", , , , , , , , ,C0041428,D014428,C98903, , , 
Q218712,Q218712, , ,"Omeprazol,Q1188290,Q254296,Q286846,Q3515,Q409492,Q411159","Q1188290,Q254296,Q286846,Q3515,Q409492,Q411159,Q422210", , , , , , , , , ,E16.4,C0043515,D015043,C3453, , , 
laktosarekiko intolerantzia,Q219223,"Q1781127,Q4927059,beherako,goragale,oka,puzker,tripako min","Q127076,Q160184,Q1781127,Q183425,Q186889,Q40878,Q4927059", , ,Q15914886,Q15914886,"Q5404323,adin","Q185836,Q5404323","Elikadura,absentzia","Q19829125,Q213449","Biopsia,Kromatografia,Q2551557,Q285223,Q5439869,odol-analisi","Q170050,Q179991,Q2551557,Q285223,Q5439869,Q886837",271.3,"E73,E73.9","C0022951,C0268181,C1857231",D007787,C3154,https://eu.wikipedia.org/wiki/Laktosarekiko_intolerantzia, , 
Q221463,Q221463, , , , , , , , , , , , , , ,C0267412,D065666, , , , 
disartria,Q225957, , ,Q407988,Q407988, , , , , , , , , , ,C0013362,D004401, , ,Hitzak ahoskatu eta artikulatzeko zailtasuna. Paralisi edota nerbio-zentroen ataxia baten ondorioz gertatzen da, 
Q228085,Q228085, , , , , , , , , , , , , , , , , , , , 
Dermatitis,Q229256, , ,"Azido boriko,Azido laktiko,Betametasona,Metionina,Q190077,Q21098894,Q27110219,Q4224007,Q4713192,Q4742041,Q7784698,doxiziklina,glizerina","Q132501,Q161249,Q180341,Q187045,Q190077,Q21098894,Q27110219,Q416132,Q4224007,Q422442,Q4713192,Q4742041,Q7784698", , , , , , , , ,692.9,L30.9,"C0011603,C3875321",D003872,C2983,https://eu.wikipedia.org/wiki/Dermatitis, , 
Burmuineko tumore,Q233309, , , , , , , , , , , , , , , ,D001932,C2907,https://eu.wikipedia.org/wiki/Burmuineko_tumore,Burmuineko neoplasma,"Burmuineko bizien,Burmuineko minbizi"
Zistitis,Q246084,hantura,Q101991,"B anfoterizina,Q1639616,Q183554,Q2365016,Q3995932,Q411447,Q415173,Q417897,Q422669,Q424940,Q47495791,Q48566821,Q5038067,Q7100015,Q71969,Q909359,Ziprofloxazino","Q1639616,Q183554,Q2365016,Q256602,Q3995932,Q411447,Q412223,Q415173,Q417897,Q422669,Q424940,Q47495791,Q48566821,Q5038067,Q7100015,Q71969,Q909359", , , , , , , , ,"595,595.89,595.9","N30,N30.9",C0010692,D003556,C26738,https://eu.wikipedia.org/wiki/Zistitis,Maskuriaren hantura larria edo kronikoa, 
Q258858,Q258858, , , , , , , , , , , , ,753.5,Q64.10,C0005689,D001746,C123207, , , 
Q260688,Q260688, , , , , , , , , , , , , , , , , , , , 
Q266018,Q266018, , ,"Azido azetilsaliziliko,Klopidogrel,Q416232,Q420542,Q48566705,Q48566757","Q18216,Q410237,Q416232,Q420542,Q48566705,Q48566757", , , , , , , , , , ,C0948089,D054058,C53652, , , 
estupore,Q268594, , ,Q905058,Q905058, , , , , , , , , , ,C0085628,D053608, ,https://eu.wikipedia.org/wiki/Estupore,kontzientzia-galera partzial nahiz totaleko egoera, 
Q268832,Q268832, , ,Q27114666,Q27114666, , , , , , , , , , , ,D015465, , , , 
janari-intoxikazio,Q272002,"beherako,buruko min,oka,pozoitze,tripako min","Q114953,Q127076,Q183425,Q40878,Q86","Q1138664,Q190878,Q2920739","Q1138664,Q190878,Q2920739", , , , ,"Elikagaien kutsadura,Q26305696","Q26305696,Q3511075","Hemograma,kultibo mikrobiologiko","Q1125312,Q886518", ,A05.9,C0679360,D005517,C128351,https://eu.wikipedia.org/wiki/Janari-intoxikazio, ,elikadura-intoxikazio
Kandidiasi,Q273510, , ,"B anfoterizina,Flukonazol,Q238490,Q248466,Q251005,Q407883,Q411229,Q412236,Q420875,Q6827850","Q238490,Q248466,Q251005,Q407883,Q411229,Q411478,Q412223,Q412236,Q420875,Q6827850", , , , , , , , ,"112,112.89,112.9","B37,B37.9",C0006840,D002177,C26711,https://eu.wikipedia.org/wiki/Kandidiasi,Kandida batek sortutako mikosia, 
Kuru,Q274615,"Ahultasun muskular,Estrabismo,Gizeneri,Q1282114,Q308978,Q7933601,Zorabio,artralgia,buruko min,dardara,dementzia,depresio,diplopia","Q10916362,Q12174,Q1282114,Q179951,Q223907,Q270421,Q308978,Q42844,Q683498,Q775940,Q7933601,Q83030,Q86", , ,"Q1025732,Q1068408,Q1080699,Q635922","Q1025732,Q1068408,Q1080699,Q635922", , ,prioi,Q47051,"Biopsia,Erresonantzia magnetiko bidezko irudigintza,Q1070952,miaketa fisiko","Q1070952,Q161238,Q179991,Q835153",046.0,"A81.8,A81.81",C0022802,D007729, ,https://eu.wikipedia.org/wiki/Kuru, , 
Ubeitis,Q280027,hantura,Q101991,"Atropina,Gammaglobulina,Q348260,dexametasona,metotrexato,prednisolona","Q11426176,Q26272,Q348260,Q415264,Q422232,Q422252", , , , , , , , , ,H20.9,C0042164,D014605,C26909,https://eu.wikipedia.org/wiki/Ubeitis,Ubearen hantura,ubitis
Gernu-ihes,Q281490, , ,"Q1060922,Q415051,Q419824,Q848264,Tolterodina","Q1060922,Q415051,Q419824,Q424312,Q848264", , , , , , , , , , ,C0042024,D014549,C78497,https://eu.wikipedia.org/wiki/Gernu-ihes, , 
Q290213,Q290213, , , , , , , , , , , , , , ,C0339488, , , , , 
Q300664,Q300664, , , , , , , , , , , , , , , , , , , , 
Q317977,Q317977, , , , , , , , , , , , ,378.54,H49.2,"C0271355,C1847523",D020434,"C27592,C27593", , , 
Enuresi,Q318005, , ,Q905058,Q905058,Nikturia,Q1426443, , , , , , , , ,C0270327,D053206,C118172,https://eu.wikipedia.org/wiki/Enuresi, , 
Gutxiagotasun-konplexu,Q319763, , , , , , , , , , , , , , , , , ,https://eu.wikipedia.org/wiki/Gutxiagotasun-konplexu, , 
Q322370,Q322370, , , , , , , , , , , , , , , , , , , , 
Prokrastinazio,Q330104, , , , , , , , ,"Arreta Galdu - Hiperaktibitate Asaldura,Q2184645,Q3500368","Q181923,Q2184645,Q3500368", , , , , , , ,https://eu.wikipedia.org/wiki/Prokrastinazio,eginbeharrak geroagorako uzteko gehiegizko joera,Prokrastinatze
Q332590,Q332590, , , , , , , , , , , , , , , , , , , , 
Q332768,Q332768, , , , , , , , , , , , , ,"F43.1,F62.0", , , , , , 
hipokloridria,Q340548,beherako,Q40878, , , , , , , , , , , , ,C0001075,D000126, , ,Urin gastrikoak azido klorhidriko gutxiegi jariatzea, 
Q341201,Q341201, , , , , , , , , , , , , , , , , , , , 
adenokartzinoma,Q356033, , , , , , ,Q662860,Q662860, , , , , , ,C0001418,D000230,C2852,https://eu.wikipedia.org/wiki/Adenokartzinoma,Epitelioko tumore gaiztoa, 
Q356713,Q356713, , ,"Antifungiko,Q411229,Q412236,Q903341,Q906453","Q411229,Q412236,Q578726,Q903341,Q906453", , , , ,"Aspergillus,Aspergillus fumigatus","Q134359,Q335130", , , , , ,D055732, , , , 
adipsia,Q357522, , , , , , , , , , , , , , , , , , ,Egarria gutxiagotzea edo desagertzea, 
Q360035,Q360035, , , , , , , , , , , , , , , , , , , , 
Buru-nahasmendu organiko,Q360341, , , , ,Q7256456,Q7256456, , , , , , , , , ,D019965, ,https://eu.wikipedia.org/wiki/Buru-nahasmendu_organiko, , 
Q365589,Q365589, , , , , , , , , , , , , , , ,D058531,C86032, , , 
angiomatosi,Q367756, , , , , , , , , , , , , , , ,D000798,C45479, ,Organoen barnealdean eta tegumentuen azalean angioma ugari sortzen dituen gaixotasuna, 
Q377493,Q377493, , , , , , , , , , , , , , ,C0236818, ,C92569, , , 
Q387175,Q387175, , , , , , , , , , , , , , , , , , , , 
Somnanbulismo,Q388626, , , , , , , , , , , , , , , ,D013009,C95078,https://eu.wikipedia.org/wiki/Somnanbulismo,"Loaldiaren 3. edo 4. fasean gertatzen den asaldua. Higitze-jarduera ez-konplexu, inkontziente eta automatikoa gertatzen da, eta, gehienetan, lo dagoena ohetik jaiki eta oinez hasten da. Esnatzean, ez da ezertaz gogoratzen.",sonanbulismo
agalaktia,Q390217, , , , , , , , , , , , , , , , ,C114409, ,Erditu ondoren bularretako esnea gutxiagotzea edo desagertzea, 
Q397554,Q397554, , , , , , , , , , , , , , , , , , , , 
merkurio bidezko pozoidura,Q408089,"Arnasestu,Astenia,Disfagia,Exantema,Eztul,Q1799146,Q18343527,Q19357654,Q2266426,Q29299,Q3002092,Q5090486,Q6402731,Q783903,Takikardia,anorexia,arnas gutxiegitasun,begietako narritadura,beherako,biriketako edema,bronkitis,bularreko min,buruko min,dardara,estomatitis,giltzurrun-gutxiegitasun kroniko,hipertentsio,insomnio,listu-jariatze,narritadura,nefropatia,neke,pisu galera,proteinuria","Q1054718,Q11820606,Q14509067,Q173022,Q1799146,Q18343527,Q1869874,Q188008,Q19357654,Q209583,Q223907,Q2266426,Q254327,Q29299,Q3002092,Q35805,Q40878,Q41861,Q4424146,Q5090486,Q570197,Q623289,Q633403,Q6402731,Q693058,Q718113,Q736715,Q767485,Q77776,Q783903,Q857667,Q86,Q911386,Q9690",Q421239,Q421239, , , , ,Zilarbizi,Q925, , ,985.0,T56.1,C0025427,D008630, , , ,hidrargiria
Q420915,Q420915, , , , , , , , , , , , , , ,C1332141, ,C35810, , , 
Q424302,Q424302, , , , , , , , , , , , , , , , , , , , 
Q770843,Q770843, , , , , , , , , , , , , , ,"C0017689,CL428078",D005935, , , , 
Q786468,Q786468, , , , , , , , ,Lobotomia,Q207684, , , , ,C0549117, , , , , 
Q794002,Q794002, , , , , , , , , , , , ,362.10, ,C0730298,C538223, , , , 
hiperazotemia,Q794072, , , , , , , , , , , , , , ,C0242528,D053099, , ,"Odolean produktu nitrogenatu gehiegi izatea, urea-kantitatea aztertuz igar dakiokeena eta gutxiegitasun hepatikoaren seinale dena", 
intertrigo,Q796150, , , , , , , , , , , , , , , ,D007402, , ,"Larruazalaren hantura eritematosoa, gorputzeko bi aldek elkar ukitu eta marruskatzen duten eskualdeetan bereziki sortzen dena", 
Q797708,Q797708, , , , , , , , , , , , , , ,C0270711, , , , , 
Q805070,Q805070, , , , , , , , , , , , , , ,C0429803, , , , , 
Kartzinoma basozelular,Q809758, , ,"Q2070286,Q22075856,Q238512,Q423417,Q7557107","Q2070286,Q22075856,Q238512,Q423417,Q7557107", , , , , , , , , , ,"C0007117,C0206710,C1368295,C1862314",D002280,"C2921,C3784,C7586", , , 
Q813677,Q813677, , , , , , , , , , , , , , ,C0581352, , , , , 
